ID,rock_type
TEST_00252,Granite
TEST_00253,Granite
TEST_00254,Granite
TEST_00255,Granite
TEST_00256,Gneiss
TEST_00257,Granite
TEST_00258,Granite
TEST_00259,Granite
TEST_00260,Granite
TEST_00261,Granite
TEST_00262,Granite
TEST_00263,Granite
TEST_00264,Granite
TEST_00265,Granite
TEST_00266,Granite
TEST_00267,Granite
TEST_00268,Granite
TEST_00269,Granite
TEST_00270,Granite
TEST_00271,Granite
TEST_00272,Granite
TEST_00273,Granite
TEST_00274,Granite
TEST_00275,Granite
TEST_00276,Granite
TEST_00277,Granite
TEST_00278,Granite
TEST_00279,Granite
TEST_00280,Granite
TEST_00281,Granite
TEST_00282,Granite
TEST_00283,Granite
TEST_00284,Granite
TEST_00285,Granite
TEST_00286,Granite
TEST_00287,Granite
TEST_00288,Granite
TEST_00289,Granite
TEST_00290,Granite
TEST_00291,Granite
TEST_00292,Granite
TEST_00293,Granite
TEST_00294,Granite
TEST_00295,Granite
TEST_00296,Granite
TEST_00297,Granite
TEST_00298,Granite
TEST_00299,Granite
TEST_00300,Granite
TEST_00301,Granite
TEST_00302,Granite
TEST_00303,Granite
TEST_00304,Granite
TEST_00305,Granite
TEST_00306,Granite
TEST_00307,Granite
TEST_00308,Granite
TEST_00309,Granite
TEST_00310,Granite
TEST_00311,Granite
TEST_00312,Granite
TEST_00313,Granite
TEST_00314,Granite
TEST_00315,Granite
TEST_00316,Granite
TEST_00317,Granite
TEST_00318,Granite
TEST_00319,Granite
TEST_00320,Granite
TEST_00321,Etc
TEST_00322,Granite
TEST_00323,Granite
TEST_00324,Granite
TEST_00325,Granite
TEST_00326,Granite
TEST_00327,Granite
TEST_00328,Granite
TEST_00329,Granite
TEST_00330,Granite
TEST_00331,Granite
TEST_00332,Gneiss
TEST_00333,Granite
TEST_00334,Gneiss
TEST_00335,Granite
TEST_00336,Granite
TEST_00337,Granite
TEST_00338,Granite
TEST_00339,Granite
TEST_00340,Granite
TEST_00341,Granite
TEST_00342,Granite
TEST_00343,Granite
TEST_00344,Granite
TEST_00345,Granite
TEST_00346,Granite
TEST_00347,Granite
TEST_00348,Granite
TEST_00349,Gneiss
TEST_00350,Granite
TEST_00351,Granite
TEST_00352,Granite
TEST_00353,Granite
TEST_00354,Etc
TEST_00355,Granite
TEST_00356,Granite
TEST_00357,Granite
TEST_00358,Granite
TEST_00359,Granite
TEST_00360,Granite
TEST_00361,Granite
TEST_00362,Gneiss
TEST_00363,Gneiss
TEST_00364,Granite
TEST_00365,Granite
TEST_00366,Granite
TEST_00367,Granite
TEST_00368,Granite
TEST_00369,Granite
TEST_00370,Granite
TEST_00371,Granite
TEST_00372,Granite
TEST_00373,Granite
TEST_00374,Granite
TEST_00375,Granite
TEST_00376,Granite
TEST_00377,Granite
TEST_00378,Granite
TEST_00379,Granite
TEST_00380,Granite
TEST_00381,Granite
TEST_00382,Granite
TEST_00383,Granite
TEST_00384,Granite
TEST_00385,Granite
TEST_00386,Granite
TEST_00387,Granite
TEST_00388,Granite
TEST_00389,Granite
TEST_00390,Granite
TEST_00391,Granite
TEST_00392,Granite
TEST_00393,Granite
TEST_00394,Granite
TEST_00395,Granite
TEST_00396,Granite
TEST_00397,Granite
TEST_00398,Granite
TEST_00399,Granite
TEST_00400,Granite
TEST_00401,Granite
TEST_00402,Granite
TEST_00403,Granite
TEST_00404,Granite
TEST_00405,Granite
TEST_00406,Granite
TEST_00407,Granite
TEST_00408,Granite
TEST_00409,Granite
TEST_00410,Granite
TEST_00411,Granite
TEST_00412,Granite
TEST_00413,Granite
TEST_00414,Granite
TEST_00415,Granite
TEST_00416,Granite
TEST_00417,Granite
TEST_00418,Granite
TEST_00419,Granite
TEST_00420,Granite
TEST_00421,Granite
TEST_00422,Granite
TEST_00423,Granite
TEST_00424,Granite
TEST_00425,Granite
TEST_00426,Granite
TEST_00427,Granite
TEST_00428,Granite
TEST_00429,Granite
TEST_00430,Granite
TEST_00431,Granite
TEST_00432,Granite
TEST_00433,Granite
TEST_00434,Granite
TEST_00435,Granite
TEST_00436,Granite
TEST_00437,Granite
TEST_00438,Granite
TEST_00439,Granite
TEST_00440,Granite
TEST_00441,Granite
TEST_00442,Granite
TEST_00443,Granite
TEST_00444,Granite
TEST_00445,Granite
TEST_00446,Granite
TEST_00447,Granite
TEST_00448,Granite
TEST_00449,Granite
TEST_00450,Granite
TEST_00451,Granite
TEST_00452,Granite
TEST_00453,Granite
TEST_00454,Granite
TEST_00455,Granite
TEST_00456,Granite
TEST_00457,Granite
TEST_00458,Granite
TEST_00459,Granite
TEST_00460,Granite
TEST_00461,Granite
TEST_00462,Granite
TEST_00463,Granite
TEST_00464,Granite
TEST_00465,Granite
TEST_00466,Granite
TEST_00467,Granite
TEST_00468,Granite
TEST_00469,Granite
TEST_00470,Granite
TEST_00471,Granite
TEST_00472,Granite
TEST_00473,Granite
TEST_00474,Granite
TEST_00475,Granite
TEST_00476,Gneiss
TEST_00477,Granite
TEST_00478,Granite
TEST_00479,Granite
TEST_00480,Granite
TEST_00481,Etc
TEST_00482,Granite
TEST_00483,Granite
TEST_00484,Granite
TEST_00485,Granite
TEST_00486,Granite
TEST_00487,Granite
TEST_00488,Etc
TEST_00489,Granite
TEST_00490,Granite
TEST_00491,Granite
TEST_00492,Mud_Sandstone
TEST_00493,Gneiss
TEST_00494,Granite
TEST_00495,Granite
TEST_00496,Granite
TEST_00497,Gneiss
TEST_00498,Gneiss
TEST_00499,Etc
TEST_00500,Granite
TEST_00501,Granite
TEST_00502,Gneiss
TEST_00503,Granite
TEST_00504,Gneiss
TEST_00505,Gneiss
TEST_00506,Granite
TEST_00507,Granite
TEST_00508,Granite
TEST_00509,Granite
TEST_00510,Gneiss
TEST_00511,Granite
TEST_00512,Granite
TEST_00513,Granite
TEST_00514,Granite
TEST_00515,Granite
TEST_00516,Gneiss
TEST_00517,Gneiss
TEST_00518,Gneiss
TEST_00519,Gneiss
TEST_00520,Gneiss
TEST_00521,Granite
TEST_00522,Granite
TEST_00523,Gneiss
TEST_00524,Granite
TEST_00525,Gneiss
TEST_00526,Gneiss
TEST_00527,Gneiss
TEST_00528,Gneiss
TEST_00529,Granite
TEST_00530,Mud_Sandstone
TEST_00531,Granite
TEST_00532,Andesite
TEST_00533,Granite
TEST_00534,Granite
TEST_00535,Granite
TEST_00536,Gneiss
TEST_00537,Granite
TEST_00538,Gneiss
TEST_00539,Granite
TEST_00540,Granite
TEST_00541,Granite
TEST_00542,Gneiss
TEST_00543,Gneiss
TEST_00544,Mud_Sandstone
TEST_00545,Gneiss
TEST_00546,Granite
TEST_00547,Granite
TEST_00548,Gneiss
TEST_00549,Gneiss
TEST_00550,Gneiss
TEST_00551,Granite
TEST_00552,Granite
TEST_00553,Granite
TEST_00554,Etc
TEST_00555,Gneiss
TEST_00556,Gneiss
TEST_00557,Gneiss
TEST_00558,Mud_Sandstone
TEST_00559,Gneiss
TEST_00560,Mud_Sandstone
TEST_00561,Granite
TEST_00562,Granite
TEST_00563,Mud_Sandstone
TEST_00564,Granite
TEST_00565,Gneiss
TEST_00566,Granite
TEST_00567,Granite
TEST_00568,Granite
TEST_00569,Granite
TEST_00570,Gneiss
TEST_00571,Gneiss
TEST_00572,Granite
TEST_00573,Etc
TEST_00574,Granite
TEST_00575,Gneiss
TEST_00576,Granite
TEST_00577,Granite
TEST_00578,Etc
TEST_00579,Granite
TEST_00580,Granite
TEST_00581,Gneiss
TEST_00582,Gneiss
TEST_00583,Etc
TEST_00584,Granite
TEST_00585,Gneiss
TEST_00586,Granite
TEST_00587,Granite
TEST_00588,Gneiss
TEST_00589,Gneiss
TEST_00590,Granite
TEST_00591,Granite
TEST_00592,Granite
TEST_00593,Granite
TEST_00594,Granite
TEST_00595,Gneiss
TEST_00596,Gneiss
TEST_00597,Gneiss
TEST_00598,Gneiss
TEST_00599,Gneiss
TEST_00600,Granite
TEST_00601,Granite
TEST_00602,Granite
TEST_00603,Granite
TEST_00604,Gneiss
TEST_00605,Gneiss
TEST_00606,Granite
TEST_00607,Granite
TEST_00608,Granite
TEST_00609,Gneiss
TEST_00610,Granite
TEST_00611,Granite
TEST_00612,Granite
TEST_00613,Granite
TEST_00614,Granite
TEST_00615,Granite
TEST_00616,Granite
TEST_00617,Granite
TEST_00618,Granite
TEST_00619,Granite
TEST_00620,Granite
TEST_00621,Granite
TEST_00622,Granite
TEST_00623,Gneiss
TEST_00624,Granite
TEST_00625,Granite
TEST_00626,Granite
TEST_00627,Granite
TEST_00628,Granite
TEST_00629,Granite
TEST_00630,Granite
TEST_00631,Granite
TEST_00632,Weathered_Rock
TEST_00633,Mud_Sandstone
TEST_00634,Weathered_Rock
TEST_00635,Granite
TEST_00636,Granite
TEST_00637,Mud_Sandstone
TEST_00638,Granite
TEST_00639,Etc
TEST_00640,Mud_Sandstone
TEST_00641,Gneiss
TEST_00642,Mud_Sandstone
TEST_00643,Mud_Sandstone
TEST_00644,Granite
TEST_00645,Gneiss
TEST_00646,Granite
TEST_00647,Granite
TEST_00648,Granite
TEST_00649,Granite
TEST_00650,Granite
TEST_00651,Granite
TEST_00652,Granite
TEST_00653,Granite
TEST_00654,Granite
TEST_00655,Granite
TEST_00656,Granite
TEST_00657,Granite
TEST_00658,Gneiss
TEST_00659,Granite
TEST_00660,Granite
TEST_00661,Gneiss
TEST_00662,Granite
TEST_00663,Granite
TEST_00664,Granite
TEST_00665,Granite
TEST_00666,Granite
TEST_00667,Granite
TEST_00668,Granite
TEST_00669,Granite
TEST_00670,Granite
TEST_00671,Granite
TEST_00672,Granite
TEST_00673,Etc
TEST_00674,Granite
TEST_00675,Granite
TEST_00676,Granite
TEST_00677,Granite
TEST_00678,Granite
TEST_00679,Granite
TEST_00680,Granite
TEST_00681,Granite
TEST_00682,Granite
TEST_00683,Granite
TEST_00684,Granite
TEST_00685,Gneiss
TEST_00686,Mud_Sandstone
TEST_00687,Gneiss
TEST_00688,Granite
TEST_00689,Weathered_Rock
TEST_00690,Basalt
TEST_00691,Mud_Sandstone
TEST_00692,Weathered_Rock
TEST_00693,Andesite
TEST_00694,Granite
TEST_00695,Granite
TEST_00696,Weathered_Rock
TEST_00697,Granite
TEST_00698,Etc
TEST_00699,Granite
TEST_00700,Granite
TEST_00701,Granite
TEST_00702,Granite
TEST_00703,Granite
TEST_00704,Granite
TEST_00705,Granite
TEST_00706,Granite
TEST_00707,Granite
TEST_00708,Granite
TEST_00709,Granite
TEST_00710,Granite
TEST_00711,Granite
TEST_00712,Granite
TEST_00713,Granite
TEST_00714,Granite
TEST_00715,Mud_Sandstone
TEST_00716,Granite
TEST_00717,Granite
TEST_00718,Weathered_Rock
TEST_00719,Granite
TEST_00720,Weathered_Rock
TEST_00721,Weathered_Rock
TEST_00722,Gneiss
TEST_00723,Granite
TEST_00724,Granite
TEST_00725,Mud_Sandstone
TEST_00726,Mud_Sandstone
TEST_00727,Gneiss
TEST_00728,Mud_Sandstone
TEST_00729,Mud_Sandstone
TEST_00730,Mud_Sandstone
TEST_00731,Granite
TEST_00732,Gneiss
TEST_00733,Granite
TEST_00734,Granite
TEST_00735,Granite
TEST_00736,Granite
TEST_00737,Granite
TEST_00738,Granite
TEST_00739,Granite
TEST_00740,Granite
TEST_00741,Granite
TEST_00742,Granite
TEST_00743,Granite
TEST_00744,Weathered_Rock
TEST_00745,Granite
TEST_00746,Granite
TEST_00747,Granite
TEST_00748,Granite
TEST_00749,Granite
TEST_00750,Granite
TEST_00751,Granite
TEST_00752,Granite
TEST_00753,Granite
TEST_00754,Granite
TEST_00755,Granite
TEST_00756,Granite
TEST_00757,Granite
TEST_00758,Granite
TEST_00759,Granite
TEST_00760,Granite
TEST_00761,Granite
TEST_00762,Gneiss
TEST_00763,Granite
TEST_00764,Granite
TEST_00765,Granite
TEST_00766,Granite
TEST_00767,Gneiss
TEST_00768,Granite
TEST_00769,Granite
TEST_00770,Granite
TEST_00771,Granite
TEST_00772,Granite
TEST_00773,Granite
TEST_00774,Granite
TEST_00775,Granite
TEST_00776,Granite
TEST_00777,Gneiss
TEST_00778,Gneiss
TEST_00779,Granite
TEST_00780,Granite
TEST_00781,Granite
TEST_00782,Granite
TEST_00783,Granite
TEST_00784,Etc
TEST_00785,Granite
TEST_00786,Granite
TEST_00787,Granite
TEST_00788,Granite
TEST_00789,Granite
TEST_00790,Granite
TEST_00791,Granite
TEST_00792,Granite
TEST_00793,Granite
TEST_00794,Granite
TEST_00795,Gneiss
TEST_00796,Granite
TEST_00797,Granite
TEST_00798,Granite
TEST_00799,Etc
TEST_00800,Granite
TEST_00801,Granite
TEST_00802,Granite
TEST_00803,Granite
TEST_00804,Granite
TEST_00805,Gneiss
TEST_00806,Gneiss
TEST_00807,Granite
TEST_00808,Granite
TEST_00809,Granite
TEST_00810,Etc
TEST_00811,Granite
TEST_00812,Granite
TEST_00813,Granite
TEST_00814,Granite
TEST_00815,Granite
TEST_00816,Granite
TEST_00817,Granite
TEST_00818,Gneiss
TEST_00819,Granite
TEST_00820,Granite
TEST_00821,Gneiss
TEST_00822,Granite
TEST_00823,Gneiss
TEST_00824,Granite
TEST_00825,Granite
TEST_00826,Granite
TEST_00827,Granite
TEST_00828,Granite
TEST_00829,Granite
TEST_00830,Granite
TEST_00831,Granite
TEST_00832,Granite
TEST_00833,Granite
TEST_00834,Granite
TEST_00835,Granite
TEST_00836,Granite
TEST_00837,Granite
TEST_00838,Granite
TEST_00839,Granite
TEST_00840,Granite
TEST_00841,Gneiss
TEST_00842,Granite
TEST_00843,Gneiss
TEST_00844,Granite
TEST_00845,Gneiss
TEST_00846,Granite
TEST_00847,Granite
TEST_00848,Granite
TEST_00849,Granite
TEST_00850,Granite
TEST_00851,Gneiss
TEST_00852,Granite
TEST_00853,Granite
TEST_00854,Granite
TEST_00855,Granite
TEST_00856,Granite
TEST_00857,Granite
TEST_00858,Granite
TEST_00859,Granite
TEST_00860,Granite
TEST_00861,Mud_Sandstone
TEST_00862,Granite
TEST_00863,Gneiss
TEST_00864,Granite
TEST_00865,Granite
TEST_00866,Granite
TEST_00867,Granite
TEST_00868,Granite
TEST_00869,Weathered_Rock
TEST_00870,Granite
TEST_00871,Granite
TEST_00872,Granite
TEST_00873,Granite
TEST_00874,Gneiss
TEST_00875,Granite
TEST_00876,Granite
TEST_00877,Granite
TEST_00878,Weathered_Rock
TEST_00879,Granite
TEST_00880,Etc
TEST_00881,Granite
TEST_00882,Granite
TEST_00883,Granite
TEST_00884,Granite
TEST_00885,Granite
TEST_00886,Etc
TEST_00887,Granite
TEST_00888,Mud_Sandstone
TEST_00889,Granite
TEST_00890,Etc
TEST_00891,Gneiss
TEST_00892,Etc
TEST_00893,Granite
TEST_00894,Etc
TEST_00895,Granite
TEST_00896,Granite
TEST_00897,Granite
TEST_00898,Granite
TEST_00899,Granite
TEST_00900,Etc
TEST_00901,Granite
TEST_00902,Mud_Sandstone
TEST_00903,Etc
TEST_00904,Granite
TEST_00905,Gneiss
TEST_00906,Granite
TEST_00907,Etc
TEST_00908,Granite
TEST_00909,Granite
TEST_00910,Etc
TEST_00911,Mud_Sandstone
TEST_00912,Granite
TEST_00913,Granite
TEST_00914,Granite
TEST_00915,Granite
TEST_00916,Granite
TEST_00917,Etc
TEST_00918,Mud_Sandstone
TEST_00919,Granite
TEST_00920,Granite
TEST_00921,Granite
TEST_00922,Granite
TEST_00923,Granite
TEST_00924,Granite
TEST_00925,Granite
TEST_00926,Granite
TEST_00927,Etc
TEST_00928,Granite
TEST_00929,Granite
TEST_00930,Granite
TEST_00931,Etc
TEST_00932,Granite
TEST_00933,Etc
TEST_00934,Granite
TEST_00935,Granite
TEST_00936,Granite
TEST_00937,Granite
TEST_00938,Etc
TEST_00939,Granite
TEST_00940,Granite
TEST_00941,Granite
TEST_00942,Granite
TEST_00943,Granite
TEST_00944,Granite
TEST_00945,Mud_Sandstone
TEST_00946,Granite
TEST_00947,Etc
TEST_00948,Granite
TEST_00949,Granite
TEST_00950,Etc
TEST_00951,Granite
TEST_00952,Granite
TEST_00953,Granite
TEST_00954,Gneiss
TEST_00955,Granite
TEST_00956,Granite
TEST_00957,Mud_Sandstone
TEST_00958,Granite
TEST_00959,Granite
TEST_00960,Granite
TEST_00961,Granite
TEST_00962,Etc
TEST_00963,Granite
TEST_00964,Etc
TEST_00965,Granite
TEST_00966,Granite
TEST_00967,Granite
TEST_00968,Granite
TEST_00969,Granite
TEST_00970,Granite
TEST_00971,Etc
TEST_00972,Etc
TEST_00973,Granite
TEST_00974,Granite
TEST_00975,Granite
TEST_00976,Etc
TEST_00977,Granite
TEST_00978,Etc
TEST_00979,Granite
TEST_00980,Granite
TEST_00981,Granite
TEST_00982,Granite
TEST_00983,Granite
TEST_00984,Granite
TEST_00985,Etc
TEST_00986,Granite
TEST_00987,Granite
TEST_00988,Granite
TEST_00989,Granite
TEST_00990,Granite
TEST_00991,Granite
TEST_00992,Granite
TEST_00993,Granite
TEST_00994,Granite
TEST_00995,Granite
TEST_00996,Etc
TEST_00997,Granite
TEST_00998,Granite
TEST_00999,Etc
TEST_01000,Granite
TEST_01001,Granite
TEST_01002,Granite
TEST_01003,Granite
TEST_01004,Mud_Sandstone
TEST_01005,Gneiss
TEST_01006,Granite
TEST_01007,Etc
TEST_01008,Etc
TEST_01009,Etc
TEST_01010,Granite
TEST_01011,Granite
TEST_01012,Granite
TEST_01013,Granite
TEST_01014,Granite
TEST_01015,Etc
TEST_01016,Granite
TEST_01017,Granite
TEST_01018,Granite
TEST_01019,Etc
TEST_01020,Granite
TEST_01021,Gneiss
TEST_01022,Granite
TEST_01023,Granite
TEST_01024,Granite
TEST_01025,Granite
TEST_01026,Granite
TEST_01027,Granite
TEST_01028,Granite
TEST_01029,Granite
TEST_01030,Granite
TEST_01031,Etc
TEST_01032,Etc
TEST_01033,Granite
TEST_01034,Etc
TEST_01035,Granite
TEST_01036,Granite
TEST_01037,Granite
TEST_01038,Granite
TEST_01039,Gneiss
TEST_01040,Granite
TEST_01041,Gneiss
TEST_01042,Granite
TEST_01043,Granite
TEST_01044,Mud_Sandstone
TEST_01045,Etc
TEST_01046,Mud_Sandstone
TEST_01047,Granite
TEST_01048,Granite
TEST_01049,Granite
TEST_01050,Granite
TEST_01051,Granite
TEST_01052,Granite
TEST_01053,Granite
TEST_01054,Mud_Sandstone
TEST_01055,Granite
TEST_01056,Granite
TEST_01057,Granite
TEST_01058,Gneiss
TEST_01059,Etc
TEST_01060,Granite
TEST_01061,Mud_Sandstone
TEST_01062,Granite
TEST_01063,Granite
TEST_01064,Granite
TEST_01065,Granite
TEST_01066,Granite
TEST_01067,Granite
TEST_01068,Granite
TEST_01069,Granite
TEST_01070,Granite
TEST_01071,Granite
TEST_01072,Granite
TEST_01073,Granite
TEST_01074,Mud_Sandstone
TEST_01075,Basalt
TEST_01076,Granite
TEST_01077,Granite
TEST_01078,Granite
TEST_01079,Gneiss
TEST_01080,Granite
TEST_01081,Granite
TEST_01082,Granite
TEST_01083,Granite
TEST_01084,Gneiss
TEST_01085,Mud_Sandstone
TEST_01086,Granite
TEST_01087,Mud_Sandstone
TEST_01088,Mud_Sandstone
TEST_01089,Granite
TEST_01090,Granite
TEST_01091,Granite
TEST_01092,Granite
TEST_01093,Etc
TEST_01094,Granite
TEST_01095,Granite
TEST_01096,Granite
TEST_01097,Granite
TEST_01098,Gneiss
TEST_01099,Granite
TEST_01100,Granite
TEST_01101,Granite
TEST_01102,Granite
TEST_01103,Granite
TEST_01104,Etc
TEST_01105,Mud_Sandstone
TEST_01106,Etc
TEST_01107,Etc
TEST_01108,Etc
TEST_01109,Granite
TEST_01110,Mud_Sandstone
TEST_01111,Granite
TEST_01112,Granite
TEST_01113,Granite
TEST_01114,Gneiss
TEST_01115,Gneiss
TEST_01116,Granite
TEST_01117,Etc
TEST_01118,Andesite
TEST_01119,Gneiss
TEST_01120,Gneiss
TEST_01121,Granite
TEST_01122,Gneiss
TEST_01123,Granite
TEST_01124,Granite
TEST_01125,Mud_Sandstone
TEST_01126,Granite
TEST_01127,Mud_Sandstone
TEST_01128,Granite
TEST_01129,Etc
TEST_01130,Granite
TEST_01131,Granite
TEST_01132,Mud_Sandstone
TEST_01133,Etc
TEST_01134,Granite
TEST_01135,Granite
TEST_01136,Gneiss
TEST_01137,Granite
TEST_01138,Mud_Sandstone
TEST_01139,Weathered_Rock
TEST_01140,Etc
TEST_01141,Granite
TEST_01142,Granite
TEST_01143,Granite
TEST_01144,Mud_Sandstone
TEST_01145,Granite
TEST_01146,Mud_Sandstone
TEST_01147,Granite
TEST_01148,Granite
TEST_01149,Granite
TEST_01150,Granite
TEST_01151,Granite
TEST_01152,Etc
TEST_01153,Granite
TEST_01154,Granite
TEST_01155,Gneiss
TEST_01156,Granite
TEST_01157,Etc
TEST_01158,Mud_Sandstone
TEST_01159,Granite
TEST_01160,Granite
TEST_01161,Mud_Sandstone
TEST_01162,Mud_Sandstone
TEST_01163,Granite
TEST_01164,Mud_Sandstone
TEST_01165,Mud_Sandstone
TEST_01166,Granite
TEST_01167,Granite
TEST_01168,Granite
TEST_01169,Granite
TEST_01170,Granite
TEST_01171,Granite
TEST_01172,Granite
TEST_01173,Mud_Sandstone
TEST_01174,Mud_Sandstone
TEST_01175,Gneiss
TEST_01176,Granite
TEST_01177,Granite
TEST_01178,Granite
TEST_01179,Granite
TEST_01180,Mud_Sandstone
TEST_01181,Granite
TEST_01182,Mud_Sandstone
TEST_01183,Gneiss
TEST_01184,Granite
TEST_01185,Etc
TEST_01186,Etc
TEST_01187,Granite
TEST_01188,Granite
TEST_01189,Etc
TEST_01190,Granite
TEST_01191,Mud_Sandstone
TEST_01192,Etc
TEST_01193,Gneiss
TEST_01194,Granite
TEST_01195,Granite
TEST_01196,Granite
TEST_01197,Granite
TEST_01198,Granite
TEST_01199,Granite
TEST_01200,Granite
TEST_01201,Granite
TEST_01202,Granite
TEST_01203,Granite
TEST_01204,Gneiss
TEST_01205,Granite
TEST_01206,Gneiss
TEST_01207,Mud_Sandstone
